,Value
Observations,1377.0
CAGR,0.16477338796540963
Annualized Volatility,0.27691486404253196
Sharpe Ratio,0.5701665991336312
Maximum Drawdown,-0.33360509777882974
R-Squared,0.596096718888659
Adjusted R-Squared,0.5943277994093392
Annualized Alpha,0.04618809413034115
Alpha t-stat,0.5903262892674173
Alpha p-value,0.5550692756259772
